,title,label,platform
1,Another Terrorist Attack in NYC...Why Are we STILL Being Politically Correct,REAL,buzzfeed
2,"Trump: Drugs a 'Very, Very Big Factor' in Charlotte Protests",REAL,buzzfeed
3,"Obama To UN: 'Giving Up Liberty, Enhances Security In America...' [VIDEO] | John Hawkins' Right Wing News",REAL,buzzfeed
4,Trump vs. Clinton: A Fundamental Clash over How the Economy Works,REAL,buzzfeed
5,President Obama Vetoes 9/11 Victims Bill,REAL,buzzfeed
6,"CHAOS! NC Protest MOB Ambushes Female Truck Driver, Loots Truck, Sets Cargo On Fire - No One Helps!? [VIDEO] | John Hawkins' Right Wing News",REAL,buzzfeed
7,10 Moments That Mattered in 1st Clinton-Trump Debate,REAL,buzzfeed
8,Young Girl's Emotional Speech Laments 'Shame' of Fatal Charlotte Shooting,REAL,buzzfeed
9,Jeb Bush to lecture at Harvard this fall,REAL,buzzfeed
10,Clinton vs. Trump: The debate before the debate,REAL,buzzfeed
11,Is Hillary in a No-Win Situation?,REAL,buzzfeed
12,Clinton on police shootings: 'too many people have lost their lives who shouldn't have',REAL,buzzfeed
13,Johnson: 'I<U+2019>m going to sleep well at the end of all this',REAL,buzzfeed
14,Anthony Weiner Under Federal Investigation for Alleged Sexting With a Minor,REAL,buzzfeed
15,Senate Dems Move To Force Trump To Release His Tax Returns,REAL,buzzfeed
16,Dem congressman to IRS: Audit the Trump Foundation,REAL,buzzfeed
17,Caught on VIDEO: Armed Intruders Break in House<U+2026>Armed Resident Responds,REAL,buzzfeed
18,"Post-debate, Trump team hits moderator Holt for 'some hostile questions'",REAL,buzzfeed
19,One Critically Wounded As Charlotte Police Endure Second Night Of RIOTS... [VIDEO] | John Hawkins' Right Wing News,REAL,buzzfeed
20,Rouhani: Iran deal able to weather the election,REAL,buzzfeed
21,Trump: <U+201C>How Can we LEAD When we Can<U+2019>t Even Control Our Own Cities?<U+201D> [VIDEO],REAL,buzzfeed
22,9 times Ted Cruz insulted Donald Trump before endorsing him,REAL,buzzfeed
23,"Critical counties: Wake County, NC, could put up a fight",REAL,buzzfeed
24,"Obama wears hat, breaking <U+2018>Politics 101<U+2019> rule on headgear",REAL,buzzfeed
25,Clinton: <U+2018>The next 50 days will determine the next 50 years<U+2019>,REAL,buzzfeed
26,I Was RFK<U+2019>s Speechwriter. Now I<U+2019>m Voting for Trump. Here<U+2019>s Why.,REAL,buzzfeed
27,NC State Troopers Take A Knee Before Protecting Charlotte - But It Wasn't To Protest The National Anthem... | John Hawkins' Right Wing News,REAL,buzzfeed
28,Sacramento mayor punches pie thrower,REAL,buzzfeed
29,"Megan Rapinoe Protests National Anthem Again Despite Warning, Pays The Price",REAL,buzzfeed
30,Liberals Are Furious When REALity Star Brody Jenner Tells the Truth About Police Shootings on Twitter | John Hawkins' Right Wing News,REAL,buzzfeed
31,Donna Brazile slams Trump for not apologizing for birther claims,REAL,buzzfeed
32,US builds working theory on cause of Syrian airstrike,REAL,buzzfeed
