X,title,label
1,What happens when you give 4chan Pictures of the Boston Bombing?,FAKE
2,New photo of what seems to be Boston bombing suspect.,REAL
3,My mom took that picture in August when we were there so many good memories,REAL
4,A picture someone took of a shark swimming by their house when it got flooded,FAKE
5,BREAKING: Barrels Removed From Clinton Property Contained Parts From 3 Missing Women,FAKE
6,BREAKING: Johnny Depp Taken Into Custody By Secret Service,FAKE
7,State Of Minnesota Has Just Handed Over FULL CONTROL To Muslims So They Can Take Down <U+2018>Infidels<U+2019> - Political Mayhem,FAKE
8,"KISS' Gene Simmons: ""You Want to Win the War on Terror? Profile Everyone, Profile ME!"" [VIDEO] | John Hawkins' Right Wing News",REAL
9,Kerry says Syrian diplomacy at impasse after truce collapses,REAL
10,Ford Motor CEO Says Trump Is Lying AGAIN! Company Is NOT Moving U.S. Operations To Mexico,REAL
