"","X","title","label","platform"
"1",1,"Virginia Republican Wants Schools To Check Children's Genitals Before Using Bathroom","fake","politifact"
"2",2,"BREAKING: PUTIN INTERFERENCE COULD GIVE COURTS LEGAL RIGHT TO MAKE HILLARY PRESIDENT","fake","politifact"
"3",3,"BREAKING: Barrels Removed From Clinton Property Contained Parts From 3 Missing Women","fake","politifact"
"4",4,"BREAKING: Johnny Depp Taken Into Custody By Secret Service","fake","politifact"
"5",5,"State Of Minnesota Has Just Handed Over FULL CONTROL To Muslims So They Can Take Down <U+2018>Infidels<U+2019> - Political Mayhem","fake","politifact"
"6",6,"Manager killed 10 employees at checkers on 183st and 27ave - Channel 24 News","fake","politifact"
"7",7,"Paul Ryan: <U+201C>Donald Trump Plans To Resign From Office Within The Next 30 Days<U+201D>","fake","politifact"
"8",8,"Australia Becomes First Country To Begin Microchipping Its Public","fake","politifact"
"9",9,"Spicer: <U+201C>Trump Has The Legal Right To Cancel SCOTUS Because They Serve At His Pleasure<U+201D>","fake","politifact"
"10",10,"BREAKING: The Democrat James Comey Has Been Having An Affair With Was JUST REVEALED! (DETAILS)","fake","politifact"
"11",11,"Page not found - Fox News The FB page","fake","politifact"
"12",12,"Bachmann: <U+201C>White People Have Suffered More In The Last 8 Years Than Blacks Did During Couple Years Of Slavery<U+201D>","fake","politifact"
"13",13,"Paul Ryan: <U+201C>22 Million Americans Choose To Be Poor, So It<U+2019>s Their Own Problem If They Can<U+2019>t Afford To Be Healthy<U+201D>","fake","politifact"
"14",14,"Obama Appears In Germany For G20 Pretending To Be The President","fake","politifact"
"15",15,"White House Chef Quits Because Trump Has Only Eaten Fast Food For 6 Months","fake","politifact"
"16",16,"BREAKING NEWS: Oscar Pistorious commits suicide in Prison","fake","politifact"
"17",17,"Gretchen Carlson: ""The 2nd Amendment Was Written Before Guns Were Invented""","fake","politifact"
"18",18,"BREAKING: A Hollywood Star Is Moving To Canada Because Of President Trump","fake","politifact"
